,username,tweet,likes_count,sentiment_analysis,sentiment_value
194384,cbacp5000,es todo una vergüenza este gobierno es una vergüenza la vacuna rusa es una vergüenza la administración de la vacuna es una vergüenza el testeo es una vergüenza no estudiar la inmunidad natural de la población es una vergüenza el pan y circo de este gobierno es una vergüenza,9,Negativo,1.654771176298056e-38
228793,gabo6687,ni de cerca le dijo que no sabe de historia porque no dijo que alfaro gobernó desde 1895 sino desde inicios de siglo xx 1900 y luego tuvo que pedir disculpas cuando dijo que por qué va a traer la vacuna rusa arauz le dijo que tb traería la d aztra zeneca y ahí dijo ay perdón,0,Negativo,3.206276149293887e-31
250132,luiscook4,hoy me toca la puerta un medico por que queria algo que aca hay me dijo que estaba chocho por que se pondria la vacuna rusa cuando me rei me dijo que de que me reia le dije la rusa sila mejor me dijo y se entablo una discusion que si no saltaba la verja todavia le estoy dando,15,Negativo,5.17480885104038e-30
334778,carolinturias,hoy mi médica me dijo que no se pondría la vacuna rusa le pregunté por qué en especial me dijo que fue todo hecho en secreto que fue carla vizzotti que no se supo bien la parte más cómica fue cuando yo pensé que me iba a dar una razón científica,7,Negativo,9.553454447405667e-29
200880,__msabri,una de salud me dice que no se vacuna xq hay mucho que no se dice y cosas que no están bien prefiere esperar o si hay que pagar por otra no importa xq no se sabe nada de la vacuna rusa a largo plazo es vidente y sabe que otra que no sea rusa no tiene consecuencias a largo plazo,1,Negativo,1.1401372115623556e-28
111429,rm140476,amorin mi vieja literalmente me dijo que quería dejar pasar un tiempo porque la vacuna rusa no se la había dado ni putin y no se sabía nada cuando la noticia era que no se la habia dado aun porque no estaban los resultados para su rango etario son unos hijos de mil puta,0,Negativo,3.492927461485334e-27
175784,psnosekponer,ya están hablando a mi abuela le hablaron y le dijeron que si quería anotarse y la visitarían y les dijo que no que no quería la vacuna rusa y le dijeron que si decía ahorita que no pues ya no se la pondrían no se porque hacen tanto relajo tan fácil de instalar módulos y ya,9,Negativo,3.713921470628827e-26
183473,xavierodontolog,ni siquiera le respondieron ni por qué le dieron escribiendo en ruso siempre queda mal este h y lo que ofrece es la vacuna rusa y los rusos no regalan nada y es más caro que nada x eso rusia no vende nada al mundo ni nadie le compra nada xq lo ruso es de mala calidad,1,Negativo,1.2309667333198457e-25
289446,lucamarinelliok,dijeron que la vacuna rusa no había pasado ni la fase uno y pasó que no se había testeado y se testeo en más de 25 mil personas que eran solo hombres del ejército ruso y lo desmintieron que no había pasado la fase 3 y ningúna vacuna lo hizo ahora dicen que no sirve en adultos,0,Negativo,3.830701507171001e-25
56868,donceleste,hoy hablaba con mi madre y me dijo que no se quiere poner la vacuna china de sinopharm no les tengo confianza derepente son bamba me dijo prefiero cualquiera de los rusos o ingleses ellos si son científicos me dijo los productos chinos tienen mala reputación,0,Negativo,5.676264918771032e-25
389084,eduuardo___,ay yo feliz con que terminen de traer la vacuna rusa y se la metan a quien le dé la gana y a quien le dé la gana de no ponérsela que no se la ponga yo no me pondré ninguna vacuna y no por ningún plan conspiranoico sino porque es lógico que en venezuela llegara lo peor de lo peor,10,Negativo,6.236595354351506e-25
68453,jlgalego,pilot hombre sí sí va sobre eso él dijo tener dudas sobre algo sobre lo que él mismo dice no tener ni idea y aun así se fía más de la vacuna china o la rusa que la de pfizer porque pues porque pfizer mal por algo que no se sabe qué lo de dirigir adjetivos esta feo que lo sepas,0,Negativo,1.0299593101518831e-24
