,date,username,tweet,replies_count,retweets_count,likes_count,link,popularity
440274,2020-08-11,tamaidedulce,Mi mejor amiga y yo después de ponernos la vacuna rusa.  https://t.co/raNvl9rUAy,3671,29977,130834,https://twitter.com/TamaiDeDulce/status/1293347990682443777,54827.333333333336
431237,2020-08-12,_julieme,Entre la polémica vacuna rusa inglesa voy a aplicar la misma filosofía que utilizaba cuando me gustaban varios amigos de un mismo grupo: que me la ponga cualquiera.,128,2880,41516,https://twitter.com/_julieme/status/1293615853947228169,14841.333333333334
442634,2020-08-11,lamastabo,Que si voy a aceptar la vacuna rusa? wey he aceptado aguas locas de extraños en fiestas masivas de ciudad azteca. Sería una hipocresía de mi parte no hacerlo.,177,3841,30592,https://twitter.com/lamastabo/status/1293305183347367936,11536.666666666666
427188,2020-08-12,galahalf,"mientras les cuento que ya me puse la vacuna rusa del COVID y no tengo ningún efectoski secundarioski только если укол немного боли т. бля кто это читает. чтобы больше смеяться, следуйте рассказу о мартурати.",38,2059,31385,https://twitter.com/galahalf/status/1293699061422358532,11160.666666666666
440248,2020-08-11,termenzo,yo 0.0001 segundos después de ponerme la vacuna rusa  https://t.co/w5d8g9jYBT,20,3212,24669,https://twitter.com/termenzo/status/1293348520779546636,9300.333333333334
432448,2020-08-12,jezzzini,ojalá que la vacuna rusa me haga más resistente al vodka y me transforme en patinadora artística sobre hielo 😌😌,79,3765,22574,https://twitter.com/jezzzini/status/1293595380580581377,8806.0
449708,2020-08-11,f3rn,Yo saliendo de ponerme la vacuna rusa  https://t.co/NSA59qgO01,275,5682,19425,https://twitter.com/F3rn/status/1293205784143310854,8460.666666666666
452182,2020-08-11,coronavid19,Ya os diré qué tal me sienta la vacuna rusa.,288,2228,22253,https://twitter.com/CoronaVid19/status/1293172547018727425,8256.333333333334
449656,2020-08-11,_elan_,"Le tengo más confianza a todos mis exes, que a la vacuna Rusa para el COVID-19.",429,2313,21024,https://twitter.com/_elan_/status/1293206629748322307,7922.0
436379,2020-08-12,vendounhueco,"No creen en la vacuna rusa, pero muéstreles la Virgen en una arepa!!!!!!!!",171,3299,16661,https://twitter.com/vendounhueco/status/1293498885332176896,6710.333333333333
453178,2020-08-11,xdxcxb,"qué mierda me importan las dudas de la comunidad científica internacional, me tirás una vacuna rusa y la atajo con la cola.",9,1216,14943,https://twitter.com/xdxcxb/status/1293154174885036034,5389.333333333333
434660,2020-08-12,el_hombre_koala,AMLO ya se aplico la vacuna rusa. 😱  https://t.co/lgrzbViAfq,90,1858,12321,https://twitter.com/El_Hombre_Koala/status/1293548969931530240,4756.333333333333
452309,2020-08-11,nachoavilac,La vacuna rusa siendo la primera en llegar:  https://t.co/8pg91u6GPn,16,2871,9696,https://twitter.com/nachoavilac/status/1293170474336292871,4194.333333333333
439963,2020-08-11,victororvikk,Yo después de ponerme la vacuna rusa del corona virus  https://t.co/H3ACt3jtZs,79,2663,9645,https://twitter.com/victororvikk/status/1293354112638242816,4129.0
