,date,username,tweet,replies_count,retweets_count,likes_count,link
356554,2020-11-02,nociruno,"Chicos, yo tome ""Septimo Regimiento"" en boliches del conurbano, mira sino me voy a poner una vacuna rusa",134,1308,8093,https://twitter.com/NoCiruNo/status/1323358033263677443
352455,2020-11-02,babyaetchecopar,La vacuna rusa debe ser testeada primero en los políticos.  Si coincidís compartí.,393,3594,7874,https://twitter.com/babyaetchecopar/status/1323398183830065152
357085,2020-11-02,c5n,⭕ El presidente @alferdez confirmó que su viceministra de Salud @carlavizzotti viajó a Moscú para concretar la adquisición de 25.000.000 de dosis de la vacuna rusa Sputnik V contra el COVID-19  https://t.co/apFdXtRr4p,550,1411,7306,https://twitter.com/C5N/status/1323350201105555456
331269,2020-11-08,pablalunar,"la vacuna rusa no tiene arvejas, papa, zanahoria y mayonesa entre sus componentes? todo bien pero eso de rusa no tiene nada yo no me la doy",3,612,6178,https://twitter.com/PablaLunar/status/1325280664988553216
335799,2020-11-05,gabylevinas,El dueño de HLB FARMA Garcia Furfaro. estuvo preso. Armó el Vatayón Militante. Salió de la cárcel y puso laboratorios Ramallo el cual fue clausurado por ANMAt Y ahora compra laboratorios. como HLB farma y le dan la vacuna rusa y Garcia Furfaro viajó con Vizotti. Órdenes  de Cris,366,4010,6087,https://twitter.com/GabyLevinas/status/1324378220565798913
349762,2020-11-02,fedkukso,"Interesante cómo para algunos es ""la vacuna rusa"" (cuando en realidad Rusia tiene 2 vacunas) o ""la vacuna china"" (China tiene 4 vacunas experimentales en Fase 3) pero no es ""la vacuna inglesa"" sino ""la vacuna de Oxford"". La geopolítica también se ve en el discurso.",81,1049,5989,https://twitter.com/fedkukso/status/1323433999084257281
81080,2020-11-02,fedkukso,"Interesante cómo para algunos es ""la vacuna rusa"" (cuando en realidad Rusia tiene 2 vacunas) o ""la vacuna china"" (China tiene 4 vacunas experimentales en Fase 3) pero no es ""la vacuna inglesa"" sino ""la vacuna de Oxford"". La geopolítica también se ve en el discurso.",81,1049,5989,https://twitter.com/fedkukso/status/1323433999084257281
350218,2020-11-02,juanchosvm,A los que ingerimos alguna de estas 4 bebidas durante la adolescencia no hace falta que nos inyecten la vacuna rusa  https://t.co/5I6k6vjcGM,138,1135,5719,https://twitter.com/Juanchosvm/status/1323426748806082562
351895,2020-11-02,lanamontalban,"Presidente d la Nacion y vice se vacunan primero (con verificación independiente q compruebe q ES la vacuna rusa), se espera tiempo prudencial (¿6 meses?),los pacientes siguen vivos, podemos empezar a hablar.  Sino, con un gobierno q siempre miente, NO es confiable #YoNoMeVacuno",745,1689,5586,https://twitter.com/LanaMontalban/status/1323404572715556864
351932,2020-11-02,carloseguiauno,"Yo voto que Cristina sea la primera en ponerse la vacuna Rusa y recién después de 30 días nosotros, si les parece bien dale RT #CristinaPrimero",349,2476,5352,https://twitter.com/CarlosEguiaUno/status/1323404173988298753
344762,2020-11-03,winston_dunhill,"Vacuna de Oxford: USD 3,5 x 25.000.000 = USD 87.500.000  Vacuna Rusa (según gobierno argentino): USD 19,90 x 25.000.000 = USD 497.500.000  Diferencia: USD 410.000.000  No más preguntas, Señor Juez.",162,2240,4944,https://twitter.com/Winston_Dunhill/status/1323629770886778886
80706,2020-11-03,vivicanosaok,"Bolsonaro contradice a su ministro de Salud por vacuna china: ""El pueblo brasileño no será conejillo de indias de nadie""   https://t.co/cvMWBtIXuK",191,893,4569,https://twitter.com/vivicanosaok/status/1323748925258477569
332057,2020-11-07,actualidadrt,"Ni se saltó la tercera fase, ni se probó solo en 72 marinos rusos, ni carece de informes científicos, ni... Podríamos estar horas desmintiendo lo que dijeron medios argentinos sobre la vacuna rusa Sputnik V, pero logramos resumirlo en un video de 10 minutos 😉  Con @inafinogenova  https://t.co/k6OWx0ip2I",129,2428,4398,https://twitter.com/ActualidadRT/status/1325081824041734149
356690,2020-11-02,cesanz1,"Mañana martes voy a contar quién está detrás de la distribución de la vacuna rusa en Argentina. Lavado, testaferros y sospechas de narcotráfico",232,1734,4278,https://twitter.com/CeSanz1/status/1323356876944363521
356280,2020-11-02,sangrexeneize,- Ojalá la vacuna rusa sea segura  La vacuna rusa:  https://t.co/1qOkUVpOjj,43,275,3978,https://twitter.com/SANGREXENEIZE/status/1323360202620604416
337527,2020-11-04,gabylevinas,"La vacuna rusa fue primero probada en animales, pero no hay registros de ello. la segunda fase, con cerca de 70 ""Voluntarios"" militares, mayoría masculinos, se hizo sin doble ciego, lo que viola las normas aceptadas científicamente. La fase 3, somos nosotros.",417,1689,3813,https://twitter.com/GabyLevinas/status/1324116044563292160
335947,2020-11-05,jotayoutube17,"Bueno gente, volvi de ponerme la vacuna rusa y creo que no me paso nada, ahora si me disculpan Я собираюсь съесть шоколад",118,107,3594,https://twitter.com/JotaYoutube17/status/1324362792602869760
80343,2020-11-05,meruanista,"Prueben la vacuna china con la señora Juanita. Total, ya la vacunaron",119,977,3461,https://twitter.com/Meruanista/status/1324463278320504839
337881,2020-11-04,lagalera9,ni idea que dicen de la vacuna rusa yo me la acabo de clavar y estoy re bi мы с тобой займемся сексом,62,148,3125,https://twitter.com/LaGalera9/status/1324078564485009410
332893,2020-11-06,gabylevinas,Si el resultado de las experimentación de la fase tres de la vacuna rusa estará recién el 1 de mayo ¿cómo puede Alberto decir que finales de diciembre vacunará a 10 millones de argentinos?,698,1042,3073,https://twitter.com/GabyLevinas/status/1324848879104385024
346744,2020-11-03,mwinazki,"Otra vez somos campeones del mundo. Ya le ganamos al coronavirus. Con la vacuna rusa nos salvamos todos. Solo falta saber si cura realmente. Pero nosotros ya nos libramos de  todo mal y ya damos la vuelta olímpica.   Viva el Zar, Lenin, Trotsky,  Putin  y Cristina.",152,854,2997,https://twitter.com/MWinazki/status/1323583248086245380
356797,2020-11-02,juan_amorin,"🇦🇷🇷🇺 @alferdez confirma en nota con Sputnik que Argentina adquirirá 25 millones de dosis de la vacuna rusa: ""Estarían en condiciones de darnos 10 millones de cada una de las dos dosis en diciembre y otras 15 millones en enero"".   https://t.co/KftzocqqBe",63,599,2933,https://twitter.com/juan_amorin/status/1323355848740118529
