,date,username,tweet,likes_count,sentiment_analysis
207463,2021-01-26,lillytellez,que conteste por qué compra la vacuna rusa que no tiene aval de la oms ni de la comunidad científica internacional a ver que conteste la pregunta,36535,Negativo
207912,2021-01-26,chumeltorres,no es que desconfíe de la vacuna rusa es que el único que dice que es una chingonería es rusia para mi mamá yo también era el niño más bonito del mundo,29205,Negativo
211697,2021-01-26,lillytellez,la vacuna rusa no está aprobada por la comunidad científica internacional pero la aprobará la cofepris en méxico es la vacuna barata por eso la eligió el gobierno,19889,Negativo
189483,2021-02-02,fdbedout,la revista médica the lancet pública los resultados de la vacuna rusa sputnik v 91 de efectividad 100 en casos graves la de menor reacción adversa son dos dosis no refrigeración especial es la más barata acuerdos con argentina bolivia paraguay venezuela mexico,19559,Negativo
206382,2021-01-27,lillytellez,el gobierno se enojó porque dije la verdad sobre la vacuna rusa tienen la fuerza pero no tienen la razón a puro manotazo me quieren callar cobardes,17952,Negativo
209316,2021-01-26,lizgottik,la vacuna rusa es como el presidente hasta ahorita no se ha comprobado que sirvan,14662,Negativo
210890,2021-01-26,lillytellez,la 4t pide a twitter que cierren mi cuenta por decir la verdad sobre la vacuna rusa no está aprobada por la comunidad científica internacional y alemania no les compró vacunas solo les ofreció ayuda porque su vacuna no aprueba requisitos para entrar a la ue,13229,Negativo
210650,2021-01-26,chumeltorres,le tengo más confianza a yolanda saldívar que a la vacuna rusa,11510,Negativo
214298,2021-01-25,carlosalazraki,sabían que la organización mundial de la salud y la fda de estados unidos no han aprobado la pinche vacuna rusa,11281,Negativo
211800,2021-01-26,lillytellez,solo méxico bielorrusia venezuela y argentina apuestan por la vacuna rusa,10747,Neutro
201062,2021-01-27,embrusiamexico,recientemente en las redes sociales se ha difundido mucha información falsa sobre la vacuna rusa por eso hoy decidimos refutar algunos mitos sobre este biológico lean nuestra publicación en facebook,10138,Negativo
188960,2021-02-02,askomartin,ultimo minuto publicacion cientifica the lancet hace instantes regimen de 2 dosis de la vacuna rusa sputnik v tiene 91 de efectividad incluso en adultos mayores resultados de fase 3 en 20 000 voluntarios como siempre dijimos no subestimen a la ciencia rusa,10006,Negativo
202778,2021-01-27,felipecalderon,en agosto el subse dijo que por razones éticas y de bioseguridad no se puede ni se debe usar la vacuna rusa por no haber terminado los estudios de fase 3 satisfactoriamente ahora nos anuncian que esa es la vacuna que aplicará en méxico 24 millones de dosis,8497,Negativo
194296,2021-01-29,embrusiamexico,dónde estaban antes esas voces preocupadas por la supuesta opacidad apuro fases incompletas falta de autorización etc que estamos escuchando hoy sobre la vacuna rusa sputnik v rusia recomendamos ver este video,8231,Negativo
217372,2021-01-24,embrusiaenarges,la vice presidenta de la república argentina cristina fernández de kirchner aplicó hoy la vacuna rusa contra coronavirus sputnikv,8175,Negativo
188931,2021-02-02,betty_couder,ya fueron publicados en la revista científica the lance los estudios de fase 3 de la vacuna rusa sputnik v ya nada más falta que lilly tellez la apruebe,8089,Negativo
198176,2021-01-28,andrearoae,con razón no aceptaron la vacuna rusa se los imaginan negociando la vacuna en ruso,8066,Negativo
189875,2021-02-02,el_pais,última hora la vacuna rusa sputnik v alcanza una eficacia del 92 según un ensayo con 20 000 participantes el medicamento ya se ha registrado en 16 países incluidos argentina bolivia paraguay y venezuela,7799,Negativo
204558,2021-01-27,lillytellez,la vacuna rusa no está aprobada por la agencia de medicinas de la unión europea la fda la oms ni la comunidad científica internacional así como propuso el modelo centinela por barato hace lo mismo con la vacuna rusa es negligencia criminal,7783,Negativo
186709,2021-02-02,ferbelaunzaran,pedía que se publicaran estudios de fase 3 de la vacuna rusa sputnik v antes de que méxico la aceptara comprara y aplicara eso sucedió hoy en lancet qué bueno no entiendo a pejistas que quieren trollearla si ella se salió con la suya para bien del país,7695,Negativo
213303,2021-01-25,denisedresserg,1er acto gobierno presume compra arribo de vacunas 2o acto vacunación lenta desordenada sin 2a dosis asegurada 3er acto amlo anuncia compra de vacuna rusa no autorizada verificada y lópez gatell rechaza comprar vacuna moderna cómo se llamó la obra querida jodí al país,7670,Neutro
206474,2021-01-27,lillytellez,la 4t sin razón y por la fuerza mentiroso gobierno de morena inventa que soy anti vacunas porque lo puse contra la pared confiesa gobierno que compra vacuna rusa que no tiene aprobación de la oms ni de la comunidad científica internacional,7635,Negativo
212159,2021-01-26,ricbenedetti,documento exclusivo luego de una intensa búsqueda dimos con el prospecto de la vacuna rusa sputnik v porqué ocultaron esta información que debiera ser pública y estar traducida al inglés y o español será por las graves precauciones para aplicarla aquí la traducción,7456,Negativo
187215,2021-02-02,juncalssolano,ahora que dirás sobre la vacuna rusa o saldrá al quite otro legislador panistan experto,7207,Negativo
183492,2021-02-02,hectorscaballer,hoy le llamó a mi madre una servidora de la nación para el tema de la vacuna mi madre como buena norteña le dice oiga chula dos cosas la primera si es la vacuna rusa o china no me la voy a poner y la segunda dígale a su presidente que chngue a su mare me hizo el día,6914,Negativo
188822,2021-02-02,petrogustavo,la vacuna rusa ha cumplido todas las fases de investigación científica incluida la investigación por pares y alcanza 100 de eficiencia para casos graves le propongo al presidente que construya una coordinación de países latinoamericanos para negociar este tipo de vacuna,6838,Negativo
203857,2021-01-27,abrahamendieta,los gobernadores panistas intentaron comprar vacunas mal y tarde y las empresas farmacéuticas no les quieren vender hasta el año que viene y aún así los legisladores panistas buscan que no se adquiera la vacuna rusa sputnik v ni resuelven ni ayudan solo destruyen,6704,Negativo
170158,2021-02-04,abrahamendieta,estaba totalmente convencido de que era una fakenews que aguilar camín dijo que la vacuna rusa funciona mejor para los rusos que para los países tropicales lo revisé y sí sí dijo esa vacilada,6636,Negativo
