,tweet,index,sentiment_test,sentiment_value,sentiment_1st,sentiment_2nd,sentiment_3rd
0,que informe cuándo van a dar la segunda dosis de sinopharm la vacuna china a los mayores de 70 y 80 cuando se sabe que no van a llegar más sinopharm por un tiempo por lo que ministerio de salud de nac dispone anticipar las 12 semanas entre dosis xa efectividad,0,Negativo,1.102559798244196e-10,Negativo,Negativo,Negativo
1,c123 el mismo lanata que dijo que la morsa era aníbal fernández después se tuvo que retractar el mismo la rata que dijo que la vacuna china tenía el 3 de inmunidad ja ja ja ja ja ja ja qué quiere que compre en faiser cuanta le pusieron a jorge la rata,1,Negativo,1.3393300536268222e-14,Negativo,Negativo,Negativo
2,orive buenos días no tienen ninguna opinión de la vacuna china sinovac desde ya gracias por su respuesta,2,Neutro,5.2817799785287755e-08,Negativo,Negativo,Negativo
3,ojala que esas vacunas sirvan para completar las 2das dosis de todos y cada uno de los que le aplicaron la vacuna china sr presidente que no quede una sola persona con 1 sola dosis porque todo esto no sirvio para nada entonces,3,Neutro,1.2908452441455498e-11,Negativo,Negativo,Negativo
7,srta la vacuna china no ha completado estudios clínicos de la fase tres y los que estaba realizando en la cayetano heredia tienen feos pronostico de efectividad 11 en una y 33 en otra esos son hechos reales,7,Negativo,7.372830707845511e-05,Negativo,Negativo,Negativo
8,señor ministro y acá cuando nos dan la segunda dosis de la vacuna china,8,Neutro,0.0020097153198040817,Negativo,Negativo,Negativo
12,negociaron ser conejillos de india para la vacuna rusa y ahora para la vacuna china que no tiene los controles mínimos que no se sabe a ciencia cierta la efectividad porque no siquiera se sabe cuántas dosis son necesarias maditos gobernantes,12,Negativo,2.657880063075057e-13,Negativo,Negativo,Negativo
14,falso la de los eua no autoriza la vacuna china por seguridad nacional la de ha matado mucha gente de trombosis informese bien antes de escribir,14,Negativo,3.501419083126033e-05,Negativo,Negativo,Negativo
18,como es posible que hayan aceptado una vacuna china y con efectividad del 68 y como locos están haciendo filas interminables con tal de vacunarse,18,Negativo,0.004348327645722243,Negativo,Negativo,Negativo
19,ah y falta la frutilla del postre la vacuna china q compramos no sirve para nada ahora si cartón lleno,19,Negativo,2.698040871186751e-06,Negativo,Negativo,Negativo
