,Tweet,Amount
0,Ya me puse la vacuna Rusa del COVID y no tengo ningún efectoski secundarioski Президент Российской Федерации; o Президент России.,151
1,"Ya me puse la vacuna Rusa del COVID y no tengo ningún efectoski secundarioski и меня зовут Лопес Обрадор, и я коррумпирован и лжец и почему я даю чистые прямые награды",133
2,¡IMPACTANTE! ¿Renunciaron trabajadores del Saime por negarse a colocarse la vacuna rusa?  https://t.co/sxT7INbtld,94
3,"Hola, les cuento ya me puse la vacuna Rusa del COVID y no tengo ningún efectoski secundarioski и меня зовут Лопес Обрадор, и я коррумпирован и лжец и почему я даю чистые прямые награды",93
4,"Sputnik V, la vacuna rusa contra el coronavirus  https://t.co/gdBd5vajZI",78
5,"Amigos, me ofrecí como voluntario para la vacuna rusa COVID-19 y fui vacunado esta mañana en el hospital , fui hacer mis cosas normal y hasta ahora no observo ninguna reaksionoski o efecto sekundarioski pueden estar trankiloski toduski иi meиш че сеитгюд ерпестe аьио овут Лопес",77
6,¿SERÁ VERDAD? Vacuna rusa contra el coronavirus: la “efectividad del 92%” de la Sputnik V según sus fabricantes  https://t.co/g0s8B7qYBh,66
7,Vacuna rusa,59
8,La vacuna rusa,58
9,¡SE PIERDEN LAS ESPERANZAS! Vacuna contra el coronavirus: Brasil interrumpe las pruebas de la vacuna china de Sinovac por un incidente adverso “grave”  https://t.co/pI07TR4VwR,57
10,"Gracias Cristina por las gestiones para la compra de la vacuna Rusa, clave para los Argentinos de buena voluntad. Las acciones mediáticas de medios Mafioso como el Clarín y sus satélites, van en contar de todo acción positiva del gobierno, lo idiotas útiles no deben aplicarse.",46
11,"Hola amigos, les cuento ya me puse la vacuna Rusa del COVID y no tengo ningún efectoski secundarioski и меня зовут Лопес Обрадор, и я коррумпирован и лжец и почему я даю чистые прямые награды",44
12,¿Funcionará? 💉🇷🇺 | Lo que se sabe sobre la candidata a vacuna rusa EpiVac Corona que adquirirá el régimen venezolano  https://t.co/vBGjwh3sjI,41
13,¿CUÁNDO LLEGARÁN?  Lo que se sabe sobre la candidata a vacuna rusa EpiVac Corona que adquirirá el régimen venezolano  https://t.co/pEYTju4xJ0,40
14,"El ególatra Fernandez compró 300mil dosis para 44millones de argentinos de una vacuna rusa dudosa que nadie quiere, ¿y ofrece ayuda a países vecinos??? Espero que el estadista Lacalle evite usar a los uruguayos como cobayos...",37
15,"#18Feb🇻🇪📢 ¡ETIQUETA DEL DÍA! ⏩ #SputnikVEnVenezuela  Venezuela comienza este #18Feb el proceso de inmunización contra el Covid-19 con la vacuna rusa Sputnik V, para garantizarle al pueblo el Derecho a la Salud y protección ante la pandemia. 🇷🇺💉🇻🇪",34
16,Maduro: Vamos a probar una vacuna china con “miles de voluntarios  https://t.co/OFkAX7uGWT,31
17,#30Dic🎅  #FelizDia🇻🇪  La vacuna Rusa será para todos los que estamos en esta patria grande Bolívar sin discriminar a nadie #Prevención😷 #SputnikVParaElPueblo🇻🇪,30
18,Llegó la vacuna rusa a Venezuela: ¿y ahora qué?   https://t.co/DDoxBLyE3V,30
19,[VIDEO] ¿Qué se sabe sobre la vacuna rusa contra el covid-19?  https://t.co/XMx6TctDoP,30
20,Maduro reitera que Venezuela realizará pruebas de vacuna rusa contra el covid-19  https://t.co/XMGh95aGiU,29
21,Sociedad de Pediatría: No es conveniente uso de vacuna rusa en Venezuela  https://t.co/DHJlyBMjYa,29
22,Llegó la vacuna rusa a Venezuela: ¿y ahora qué?  https://t.co/DDoxBLyE3V,28
23,No se dejen confundir: Basta ya @IvanDuque de ser idiota útil de la izquierda #NomasPartidoFarc no a Vacuna China SINOVAC sin eficiencia; No mas virus chino.,27
24,"#CocuyoChequea Si bien es cierto que la vacuna rusa podría tener algunos efectos secundarios, lo que es común en una vacuna experimental, es falso que las alcaldías estén haciendo jornadas para inyectar la Sputnik V sin conocimiento de las personas.  https://t.co/6B2aQb2WaP",27
25,¡Malas noticias! 😷 | Vacuna contra el coronavirus: Brasil interrumpe las pruebas de la vacuna china de Sinovac por un incidente adverso “grave”  https://t.co/ipwW70lAnq,26
26,Venezuela aprueba el uso de la vacuna china Sinopharm  https://t.co/WwhYLJv345,26
27,"Venezuela comienza este #18Feb el proceso de inmunización contra el Covid-19 con la vacuna rusa Sputnik V, para garantizarle al pueblo el Derecho a la Salud y protección ante la pandemia. Bandera de RusiaJeringaBandera de Venezuela",26
28,#Coronavirus 🦠 | Vacuna rusa contra el coronavirus: la “efectividad del 92%” de la Sputnik V según sus fabricantes  https://t.co/bmfK9JEgiN,25
29,Se pondrían la vacuna rusa?,25
30,¿Renunciaron trabajadores del Saime por negarse a colocarse la vacuna rusa? | @georgettesahhar  https://t.co/skImdxJeOZ,25
31,"#2Oct| 🇻🇪📢 ¡SEGUNDA ETIQUETA DEL DÍA! ⏩ ""#SputnikVLlegaAVenezuela  #SistemaPetroInmobiliario Día historico llega a Venezuela, primer país latinoamericano que recibe la vacuna rusa Sputnik-V para ganar la lucha contra la COVID-19 ¡Gracias Rusia",25
32,"#2Oct| 🇻🇪📢 ¡SEGUNDA ETIQUETA DEL DÍA! ⏩ ""#SputnikVLlegaAVenezuela   Día historico llega a Venezuela, primer país latinoamericano que recibe la vacuna rusa Sputnik-V para ganar la lucha contra la COVID-19 ¡Gracias Rusia!",24
33,Vacuna rusa contra Covid-19 podría registrarse en agosto  https://t.co/tZ4AUjiYYU,24
34,"Amigos, me ofrecí como voluntario para la vacuna rusa COVID-19 y fui vacunado esta mañana en el hospital , fui hacer mis cosas normal y hasta ahora no observo ninguna reaksionoski o efecto sekundarioski pueden estar trankiloski toduski иi meиш че сеитгюд ерпестe аьио овут Лопес.",23
35,"me ofrecí de voluntario para la vacuna rusa COVID19 y fui vacunado esta mañana, fui hacer mis cosas y hasta ahora no observo ninguna reaksionoski o efecto sekundarioski pueden estar trankilosk Если вы прочтете это, вы должны меня поцеловать, и если вы продолжите читать, мы друзья",23
36,No se dejen confundir con apología al delito del gobierno: Basta ya @IvanDuque de ser idiota útil de la izquierda; no más #NomasPartidoFarc No más apología al delito con la Vacuna China SINOVAC sin eficiencia 50%; No más virus chino. Uribista 1000%,22
37,"La vacuna que representa la Pfizer Alemana solo ""Promete mejoras"" pero No cura el Covid19 según reporte de Forbes, la vacuna que SI cura y elimina el virus es la vacuna Rusa Sputnik V,los análisis científicos mundiales dan total confiabilidad a los protocolos",22
38,Me puse la vacuna rusa para el COVID y no tengo ningún efectoski secundarioski позволь ему трахнуть свою мать Америку.,21
39,#GatellvergueenzadeMexico De verdad #gatellasesino no ha hecho suficiente daño a los mexicanos y ahora quiere que se aplique la vacuna rusa que rechaza el personal médico ruso esa decisión pone en evidencia la capacidad de crear desastres del @GobiernoMX 🤦🏻‍♀️,21
40,"------------------------------------------------------------------------- ""LA VACUNA RUSA QUE ESTA POR LLEGAR SIN HABER CUMPLIDO LA FASE TRES, PARA HACER LA PRIMERA PRUEBA LOS PRIMEROS EN APLICARSELAS DEBEN SER ALBERTO,CRISTINA,CAFIERITO KICILLOF, Y EL GOBIERNO.-"""" --------------",21
41,Vacuna rusa en Venezuela: ¿qué se sabe sobre la captación de voluntarios para el ensayo? | @Danii_L  https://t.co/6ZjbNukNCv,21
42,¿Es confiable? 🤔 | Vacuna china Sinopharm: detalles sobre el fármaco que llegó a Venezuela y su distribución a otros países  https://t.co/QoXeEX6mlS,20
43,Vizzotti en acción Carla Vizzotti es la primera médica mujer en la historia que comanda la Salud. Sus primeras medidas combinaron el combate de la pandemia y transparentar el sistema de acceso a la inmunización luego del escándalo. La vacuna china  https://t.co/GBNaRm7F7x,20
44,Vacuna rusa contra el coronavirus: qué se sabe del plan de Maduro que convierte a Venezuela en el primer país de América Latina en probar la Sputnik V  https://t.co/6pZWO5jy27,20
45,La vacuna china de Sinovac podrá aplicarse masivamente a principios de 2021 #ENCiencia  https://t.co/C1brdB5e7w  https://t.co/rHw10AtYme,19
46,"#BarbosaQueremosVacunas las puedes comprar con los recursos de los impuestos que pagamos los poblanos. La vacuna Rusa es de buena calidad, efectiva y barata, además producen 100 millones de dosis al mes. @Gob_Puebla @MBarbosaMX",18
47,Vacuna rusa contra el coronavirus: qué se sabe del plan de Maduro que convierte a Venezuela en el primer país de América Latina en probar la Sputnik V  https://t.co/ln9zvq3S0X,18
48,La vacuna rusa.,17
49,Vacuna Rusa,17
50,Te pondrías la vacuna rusa?,17
51,"No es lluvia, es Dios llorando por Argentina que le dió media sanción a la ley del aborto. Esto, sumado a la vacuna rusa que te hace estéril, y la fábrica de homosexuales que es la ESI significará la extinción de la raza pura euro-argentina. #YoNoMeVacuno #SalvemosLasDosVidas",17
52,Ni los indios creen en la vacuna rusa  https://t.co/hzgAxqIgyZ,17
53,"SE  VACUNÓ, MIENTRAS LOS PERUANOS MORIAN, 100,000 MUERTOS Y ÉL SE PROTEGIA???  ahora se explica porque insisten e insistieron con la vacuna CHINA SINOPHARM. VIZCARRATA HIZO SU NEGOCIADO!!! @congresoperu @FiscaliaPeru @TC_Peru @JNE_Peru  van a seguir protegiendo a @MartinVizcarraC",16
54,ni idea que dicen de la vacuna rusa yo me la acabo de clavar y estoy re bi мы с тобой займемся сексом,16
55,"Amigos, me ofrecí como voluntario para la vacuna rusa COVID-19 y fui vacunado esta mañana en el hospital , fui hacer mis cosas normal y hasta ahora no observo ninguna reaksionoski o efecto sekundarioski pueden estar trankiloski toduski иi meиш че сеитгюд ерпестe аьио овут Лопес О",16
56,Vacuna rusa.,16
